action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.87,0,50,,-4.13,-102.36,88.86,76.53,-0.29,0.73
2,0.90,1,49,0.263,-4.15,-102.1,89.06,76.5,-0.2,0.85
3,0.94,2,48,0.425,-4.0,-102.22,89.49,76.59,-0.29,0.85
4,0.97,3,47,0.242,-4.24,-102.26,89.73,76.58,-0.27,0.75
5,1.00,4,46,0.443,-4.38,-101.82,89.41,76.47,-0.3,0.72
6,1.04,5,45,0.459,-4.48,-102.15,89.48,76.93,-0.36,0.62
7,1.07,6,44,0.342,-4.14,-102.16,89.39,76.6,-0.29,0.82
8,1.10,7,43,0.255,-4.4,-101.98,89.44,76.78,-0.39,0.82
9,1.14,8,42,0.509,-4.23,-102.48,89.89,76.55,-0.33,0.82
10,1.17,9,41,0.662,-4.23,-101.82,89.47,76.54,-0.44,0.77
11,1.21,10,40,0.109,-4.27,-101.93,89.4,76.61,-0.36,0.84
12,1.24,11,39,0.132,-4.21,-101.8,89.46,76.57,-0.39,0.75
13,1.27,12,38,0.378,-4.59,-101.63,89.24,76.61,-0.31,0.72
14,1.31,13,37,0.439,-4.42,-101.68,88.8,76.63,-0.32,0.89
15,1.34,14,36,0.413,-4.53,-101.37,89.21,76.59,-0.32,0.75
16,1.37,15,35,0.560,-4.49,-101.93,89.56,76.46,-0.32,0.72
17,1.41,16,34,0.428,-4.68,-102.15,89.13,76.66,-0.31,0.75
18,1.44,17,33,0.295,-4.56,-101.86,89.18,76.78,-0.34,0.8
19,1.47,18,32,0.271,-4.76,-101.59,89.28,76.68,-0.32,0.75
20,1.51,19,31,0.400,-4.56,-101.99,89.28,76.42,-0.37,0.82
21,1.54,20,30,0.572,-4.64,-102.12,88.71,76.39,-0.36,0.83
22,1.57,21,29,0.453,-4.46,-102.47,89.16,76.54,-0.27,0.76
23,1.61,22,28,0.450,-4.51,-102.02,88.97,76.42,-0.31,0.77
24,1.64,23,27,0.267,-4.48,-101.84,88.71,76.36,-0.37,0.71
25,1.67,24,26,0.326,-4.59,-101.52,88.89,76.48,-0.35,0.57
26,1.71,25,25,0.605,-4.45,-102.12,89.06,76.52,-0.31,0.78
27,1.74,26,24,0.085,-4.46,-102.04,89.0,76.51,-0.39,0.73
28,1.77,27,23,0.320,-4.48,-102.36,89.08,76.53,-0.38,0.93
29,1.81,28,22,0.189,-4.29,-102.26,89.2,76.4,-0.43,0.82
30,1.84,29,21,0.261,-4.55,-102.23,89.25,76.48,-0.47,0.9
31,1.87,30,20,0.525,-4.7,-101.76,88.73,76.66,-0.43,0.81
