action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.20,0,50,,-4.32,-101.8,88.96,73.56,-1.03,0.49
2,1.24,1,49,0.447,-4.36,-101.83,88.7,73.12,-1.02,0.39
3,1.27,2,48,0.389,-4.33,-101.96,89.09,72.85,-0.98,0.33
4,1.30,3,47,0.385,-4.37,-101.58,88.83,72.51,-1.02,0.23
5,1.34,4,46,0.262,-4.63,-101.71,89.01,72.33,-1.04,0.25
6,1.37,5,45,0.955,-4.55,-102.66,88.81,72.05,-1.0,0.36
7,1.41,6,44,1.186,-4.54,-101.48,88.77,72.01,-0.92,0.35
8,1.44,7,43,0.687,-4.83,-102.17,88.7,71.73,-0.9,0.37
9,1.47,8,42,0.624,-4.74,-102.3,89.32,71.8,-0.94,0.32
10,1.51,9,41,0.610,-4.68,-102.23,88.71,71.72,-0.87,0.36
11,1.54,10,40,0.407,-5.09,-102.49,88.54,71.58,-0.9,0.36
12,1.57,11,39,0.319,-5.05,-102.17,88.52,71.48,-0.81,0.4
13,1.61,12,38,0.258,-4.95,-101.94,88.31,71.23,-0.8,0.51
14,1.64,13,37,0.516,-5.25,-102.12,88.82,71.13,-0.76,0.36
15,1.67,14,36,0.762,-5.38,-101.71,88.06,70.92,-0.74,0.34
16,1.71,15,35,0.653,-5.41,-102.36,88.63,70.54,-0.59,0.33
17,1.74,16,34,0.907,-5.8,-102.17,87.72,70.7,-0.53,0.35
18,1.77,17,33,0.491,-5.89,-101.92,87.77,70.21,-0.44,0.44
19,1.81,18,32,0.500,-6.23,-102.42,88.0,70.03,-0.38,0.45
20,1.84,19,31,0.719,-6.35,-102.14,87.28,69.97,-0.41,0.31
21,1.87,20,30,0.681,-6.77,-102.38,87.96,69.9,-0.43,0.36
22,1.91,21,29,0.496,-6.69,-101.88,87.82,69.71,-0.44,0.35
23,1.94,22,28,0.227,-6.62,-102.11,87.67,69.69,-0.46,0.35
24,1.97,23,27,0.980,-7.0,-103.09,87.1,69.54,-0.45,0.27
25,2.01,24,26,0.807,-6.92,-102.28,86.89,69.73,-0.58,0.35
26,2.04,25,25,0.353,-6.57,-102.22,87.07,69.58,-0.62,0.43
27,2.07,26,24,0.342,-6.91,-102.36,86.92,69.78,-0.76,0.32
