action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.90,0,50,,-5.29,-101.04,88.49,75.38,0.25,0.93
2,0.94,1,49,0.534,-5.61,-101.58,88.47,75.2,0.26,0.93
3,0.97,2,48,0.475,-5.63,-101.41,88.94,75.57,0.17,1.04
4,1.00,3,47,0.470,-6.1,-101.54,88.6,75.32,0.24,0.99
5,1.04,4,46,0.707,-6.8,-101.56,88.23,75.48,0.26,1.01
6,1.07,5,45,0.594,-7.4,-101.52,88.45,75.45,0.3,0.86
7,1.10,6,44,0.554,-7.95,-102.03,88.36,75.39,0.21,0.91
8,1.14,7,43,0.434,-8.39,-101.93,88.15,75.39,0.16,0.76
9,1.17,8,42,0.793,-8.97,-101.87,88.94,75.67,0.15,0.79
10,1.20,9,41,0.599,-9.57,-102.29,88.59,75.47,0.09,0.68
11,1.24,10,40,0.485,-10.05,-102.58,88.73,75.5,0.12,0.89
12,1.27,11,39,0.913,-10.96,-102.4,88.09,75.43,0.18,0.8
13,1.30,12,38,0.459,-11.42,-101.97,88.36,75.51,0.22,0.9
14,1.34,13,37,1.083,-12.51,-101.86,88.39,75.59,0.06,0.96
15,1.37,14,36,0.879,-13.39,-101.54,88.5,75.47,0.08,0.88
16,1.41,15,35,0.551,-13.94,-101.67,88.22,75.77,0.07,0.94
17,1.44,16,34,0.927,-14.86,-101.8,88.19,75.52,0.05,0.82
18,1.47,17,33,0.920,-15.78,-101.9,88.17,75.73,0.02,0.87
19,1.51,18,32,0.802,-16.59,-101.96,88.34,75.79,0.01,0.94
20,1.54,19,31,0.245,-16.82,-102.15,88.27,75.55,-0.0,0.78
21,1.57,20,30,0.509,-17.33,-102.45,88.49,75.6,-0.01,0.9
22,1.61,21,29,0.520,-17.5,-101.93,88.91,75.7,-0.01,0.95
23,1.64,22,28,0.455,-17.93,-102.19,88.45,75.72,0.02,0.76
24,1.67,23,27,0.351,-18.0,-102.2,88.8,75.85,-0.01,1.09
25,1.71,24,26,0.884,-18.32,-101.31,88.4,75.82,0.04,0.93
26,1.74,25,25,0.658,-18.92,-101.97,88.47,75.72,-0.07,1.12
27,1.77,26,24,0.595,-19.51,-102.09,88.54,75.63,-0.07,0.99
