action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.74,0,50,,-4.6,-101.7,88.21,74.79,-1.36,0.84
2,1.77,1,49,0.201,-4.75,-101.69,88.15,74.59,-1.31,0.87
3,1.81,2,48,0.194,-4.77,-101.85,87.95,74.51,-1.26,0.88
4,1.84,3,47,0.354,-4.7,-101.93,88.07,74.15,-1.2,0.74
5,1.87,4,46,0.880,-4.54,-101.05,88.08,73.95,-1.22,0.83
6,1.91,5,45,0.536,-4.51,-101.58,87.96,73.47,-1.23,0.68
7,1.94,6,44,0.259,-4.49,-101.41,88.22,73.26,-1.32,0.76
8,1.97,7,43,0.361,-4.66,-101.65,87.97,72.9,-1.27,0.79
9,2.01,8,42,0.210,-4.45,-101.85,87.86,72.72,-1.26,0.73
10,2.04,9,41,0.506,-4.45,-101.41,88.07,72.21,-1.23,0.69
11,2.07,10,40,0.691,-4.49,-101.84,87.38,71.89,-1.26,0.74
12,2.11,11,39,0.672,-4.32,-101.16,87.41,71.5,-1.17,0.69
13,2.14,12,38,0.322,-4.56,-101.49,87.48,71.35,-1.27,0.71
14,2.17,13,37,0.657,-4.67,-102.14,87.84,71.27,-1.28,0.68
15,2.21,14,36,0.909,-4.73,-101.5,86.93,71.07,-1.25,0.68
16,2.24,15,35,0.243,-4.77,-101.64,87.18,70.98,-1.2,0.73
17,2.27,16,34,0.396,-4.54,-102.03,87.39,70.7,-1.21,0.47
18,2.31,17,33,0.137,-4.55,-102.07,87.34,70.66,-1.23,0.61
19,2.34,18,32,0.437,-4.61,-101.91,86.9,70.59,-1.16,0.51
20,2.38,19,31,0.402,-4.62,-102.31,86.97,70.64,-1.25,0.64
21,2.41,20,30,0.418,-4.49,-102.62,87.38,70.34,-1.26,0.59
22,2.44,21,29,0.491,-4.47,-102.13,87.25,70.2,-1.23,0.61
23,2.48,22,28,0.208,-4.45,-102.08,87.04,70.19,-1.29,0.76
24,2.51,23,27,0.384,-4.73,-102.32,87.43,70.05,-1.25,0.6
25,2.54,24,26,0.508,-4.85,-102.39,86.92,70.11,-1.23,0.56
26,2.58,25,25,0.237,-5.08,-102.45,87.16,69.94,-1.23,0.5
27,2.61,26,24,0.969,-5.35,-102.02,86.19,70.12,-1.27,0.56
28,2.64,27,23,0.309,-5.43,-102.23,86.5,70.34,-1.26,0.55
29,2.68,28,22,0.268,-5.7,-102.05,86.34,70.58,-1.18,0.57
30,2.71,29,21,0.184,-5.83,-101.98,86.17,70.76,-1.29,0.58
31,2.75,30,23,3.533,-4.83,-100.93,82.64,72.3,-1.35,0.7
32,2.78,31,22,0.396,-4.95,-101.33,82.44,72.22,-1.36,0.66
33,2.81,32,21,0.428,-5.01,-101.14,82.01,72.36,-1.36,0.63
34,2.85,33,20,0.493,-4.98,-100.94,81.52,72.35,-1.38,0.59
35,2.88,34,19,0.359,-5.12,-101.11,81.16,72.45,-1.43,0.61
36,2.91,35,18,0.338,-5.11,-100.77,81.03,72.68,-1.42,0.73
37,2.95,36,17,0.900,-5.31,-100.87,80.13,72.89,-1.5,0.58
38,2.98,37,16,0.563,-5.33,-100.3,79.8,72.71,-1.48,0.64
39,3.01,38,15,0.378,-5.36,-100.33,79.43,72.92,-1.58,0.56
40,3.05,39,14,0.711,-5.32,-99.97,78.71,72.98,-1.58,0.65
41,3.08,40,13,0.607,-5.38,-99.36,78.55,72.99,-1.6,0.61
42,3.11,41,12,1.209,-5.46,-98.15,77.39,72.86,-1.66,0.54
43,3.15,42,11,1.033,-5.52,-97.12,76.63,72.75,-1.72,0.49
44,3.18,43,10,1.350,-5.34,-95.77,75.91,72.75,-1.77,0.53
45,3.21,44,9,1.546,-5.53,-94.22,75.32,72.6,-1.91,0.59
46,3.25,45,8,1.267,-5.4,-92.95,74.53,72.27,-2.08,0.5
47,3.28,46,7,0.952,-5.39,-92.0,73.81,72.09,-2.1,0.55
48,3.31,47,6,1.176,-5.36,-90.83,72.71,71.8,-2.24,0.49
49,3.35,48,5,1.272,-5.36,-89.55,72.59,71.56,-2.21,0.48
50,3.38,49,4,1.259,-5.36,-88.3,72.18,71.49,-2.41,0.49
51,3.42,50,3,7.153,-5.35,-81.14,66.84,72.2,-2.2,0.6
52,3.45,51,2,0.940,-5.55,-80.2,66.63,72.35,-2.45,0.47
53,3.48,52,1,1.757,-5.46,-78.45,65.45,72.2,-2.52,0.44
54,3.58,53,25,21.341,-5.44,-99.79,78.41,71.04,-1.22,0.61
55,3.62,54,24,1.518,-4.85,-98.27,78.23,71.03,-1.38,0.81
56,3.65,55,23,0.942,-5.16,-97.33,77.31,70.98,-1.31,0.83
57,3.68,56,22,1.384,-5.18,-95.94,76.09,70.84,-1.4,0.77
58,3.72,57,21,2.668,-5.24,-93.27,74.99,70.65,-1.44,0.77
59,3.75,58,20,2.432,-5.26,-90.84,74.47,70.21,-1.64,0.67
