action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.81,0,50,,-3.95,-102.23,88.46,74.72,-0.92,1.06
2,1.84,1,49,0.625,-4.27,-101.61,88.25,74.53,-0.98,0.97
3,1.87,2,48,0.510,-4.05,-102.03,88.76,74.3,-0.97,1.05
4,1.91,3,47,0.301,-4.12,-102.33,88.48,74.04,-1.04,1.15
5,1.94,4,46,0.505,-4.21,-102.4,88.52,73.54,-1.0,0.93
6,1.97,5,45,0.397,-4.09,-102.0,88.32,73.24,-0.96,0.97
7,2.01,6,44,0.627,-4.08,-101.93,88.95,72.67,-0.98,0.99
8,2.04,7,43,0.485,-3.96,-102.08,88.55,72.18,-1.06,0.97
9,2.07,8,42,0.491,-4.05,-102.4,88.61,71.69,-1.07,0.99
10,2.11,9,41,0.733,-4.06,-101.67,88.63,71.68,-1.03,1.0
11,2.14,10,40,0.500,-3.94,-101.98,88.56,71.18,-1.08,0.95
12,2.17,11,39,0.301,-3.88,-101.68,88.56,71.01,-1.08,1.01
13,2.21,12,38,0.300,-3.69,-101.98,88.73,70.95,-1.03,1.09
14,2.24,13,37,0.551,-3.78,-101.73,88.18,70.61,-1.07,0.87
15,2.28,14,36,0.311,-3.89,-102.04,87.9,70.73,-1.11,1.04
16,2.31,15,35,0.302,-4.14,-101.73,87.97,70.6,-1.12,0.98
17,2.34,16,34,0.344,-4.05,-101.68,87.62,70.56,-1.05,1.01
18,2.38,17,33,0.438,-4.13,-102.12,88.04,70.33,-1.12,1.0
19,2.41,18,32,0.361,-4.21,-102.48,87.85,70.29,-1.07,0.98
20,2.44,19,31,0.417,-4.24,-102.06,87.83,70.07,-1.03,1.02
21,2.48,20,30,0.244,-3.99,-101.98,87.61,69.83,-1.06,1.02
22,2.51,21,29,0.199,-4.15,-101.9,87.62,69.63,-1.01,0.95
23,2.54,22,28,0.138,-4.19,-101.92,87.76,69.5,-1.02,1.05
24,2.58,23,27,0.511,-4.2,-102.43,87.68,69.24,-1.1,1.05
25,2.61,24,26,0.306,-4.07,-102.24,87.98,69.21,-1.09,1.06
26,2.64,25,25,0.912,-4.01,-103.15,87.99,68.91,-1.07,1.05
27,2.68,26,24,0.644,-4.03,-102.5,87.88,68.8,-1.08,1.03
28,2.71,27,23,0.386,-4.01,-102.89,88.2,68.63,-1.02,0.89
29,2.74,28,22,0.753,-4.07,-102.38,87.45,68.72,-1.04,0.92
30,2.78,29,21,0.418,-3.92,-102.76,87.87,68.78,-1.08,0.98
31,2.81,30,20,0.246,-3.89,-103.0,87.67,68.53,-1.07,0.96
32,2.84,31,19,0.778,-3.96,-102.22,87.05,68.64,-1.06,0.89
33,2.88,32,21,1.794,-4.01,-102.54,85.26,68.59,-1.01,0.88
34,2.91,33,20,1.009,-3.83,-102.14,84.25,68.85,-1.01,0.81
35,2.94,34,19,0.981,-3.78,-101.99,83.27,69.48,-0.96,0.83
36,2.98,35,18,0.508,-3.98,-102.26,83.08,69.98,-0.93,0.81
37,3.01,36,17,1.054,-3.81,-101.71,82.03,70.15,-0.94,0.91
38,3.04,37,16,0.700,-3.91,-101.52,81.33,70.54,-0.99,0.82
39,3.08,38,15,0.545,-3.75,-101.38,80.78,70.76,-0.97,0.85
40,3.11,39,14,1.039,-3.77,-100.57,79.74,71.12,-0.93,0.8
41,3.15,40,13,1.290,-3.72,-99.95,78.45,71.23,-1.01,0.91
42,3.18,41,12,1.393,-3.6,-98.93,77.06,71.73,-1.02,0.86
43,3.21,42,11,1.119,-3.77,-97.81,76.27,72.04,-1.01,0.78
44,3.25,43,10,1.077,-3.68,-96.77,75.2,72.4,-1.04,0.69
45,3.28,44,9,1.933,-3.89,-94.83,74.07,72.59,-1.11,0.67
46,3.31,45,8,1.943,-3.93,-93.83,72.13,72.79,-1.07,0.84
47,3.35,46,7,1.192,-3.84,-92.63,71.0,73.22,-1.13,0.82
48,3.38,47,6,2.133,-3.52,-90.5,69.84,73.43,-1.09,0.76
49,3.41,48,5,1.686,-3.52,-88.81,68.6,73.75,-1.06,0.72
50,3.45,49,4,1.502,-3.48,-87.31,67.45,73.92,-1.15,0.91
51,3.48,50,3,9.052,-3.51,-78.26,58.85,75.49,-1.16,0.73
52,3.51,51,2,2.887,-3.8,-75.37,56.66,75.51,-1.34,0.82
53,3.55,52,1,1.905,-3.59,-73.47,55.83,75.69,-1.45,0.9
54,3.68,53,28,29.101,-2.79,-102.57,82.82,66.17,-0.98,0.69
55,3.71,54,27,0.542,-2.87,-102.91,82.28,66.42,-0.96,0.74
56,3.75,55,26,0.488,-2.85,-102.42,81.88,66.42,-0.86,0.75
57,3.78,56,25,0.324,-2.72,-102.51,81.56,66.59,-0.93,0.6
58,3.81,57,24,0.799,-2.7,-102.14,80.76,66.71,-0.88,0.66
59,3.85,58,23,0.771,-2.78,-102.4,79.99,66.78,-0.82,0.62
60,3.88,59,22,0.783,-2.68,-101.61,79.83,66.98,-0.87,0.69
61,3.92,60,21,0.915,-2.66,-100.7,78.98,67.01,-0.83,0.68
62,3.95,61,20,0.753,-2.97,-100.07,78.22,66.91,-0.89,0.53
63,3.98,62,19,1.891,-2.65,-98.18,77.72,66.94,-0.73,0.66
64,4.02,63,18,2.806,-2.6,-96.05,74.91,66.66,-0.86,0.44
65,4.05,64,17,2.557,-2.58,-93.5,73.08,66.35,-0.85,0.41
66,4.08,65,16,2.766,-2.7,-90.73,71.7,66.05,-0.85,0.5
67,4.12,66,15,2.722,-2.88,-88.01,69.44,65.81,-0.89,0.37
68,4.15,67,14,2.827,-2.78,-85.18,66.86,65.58,-0.98,0.31
69,4.18,68,13,2.313,-2.74,-82.87,65.71,65.31,-0.99,0.27
70,4.22,69,12,2.333,-2.82,-80.54,64.12,65.48,-1.08,0.16
71,4.25,70,11,1.956,-2.61,-78.58,62.81,65.58,-0.95,0.25
72,4.28,71,10,2.131,-2.7,-76.45,61.66,65.32,-1.0,0.28
73,4.32,72,9,1.960,-2.46,-74.49,60.42,65.83,-1.1,0.51
74,4.35,73,8,1.756,-2.72,-72.73,59.04,65.96,-1.02,0.27
75,4.38,74,7,1.567,-2.65,-71.21,57.48,66.48,-1.19,0.42
76,4.42,75,6,1.915,-2.92,-69.29,57.23,66.74,-1.29,0.41
77,4.45,76,5,1.047,-2.83,-68.25,56.31,66.95,-1.29,0.42
78,4.48,77,4,1.154,-2.95,-67.09,55.22,67.29,-1.22,0.45
79,4.52,78,3,1.243,-3.11,-65.85,54.54,67.79,-1.21,0.38
80,4.55,79,2,0.947,-3.13,-64.9,54.32,68.07,-1.32,0.53
81,4.58,80,1,1.209,-3.14,-63.69,53.15,68.53,-1.46,0.51
