episode_id,num_actions,duration_s,sl_major_rev,ef_major_rev,total_major_rev,sl_range,ef_range,sl_mean_v,ef_mean_v
purse__067_purse,1340,48.5,40,36,76,162.9,159.2,2.363,2.093
brown__030_brown,1326,49.1,32,32,64,155.2,152.6,1.547,1.567
bag__075_bag,1150,41.6,33,27,60,121.8,106.1,1.666,1.3
brown__072_brown,866,31.4,30,30,60,166.5,163.2,2.385,2.133
purse__039_purse,1319,48.2,25,28,53,144.9,141.0,1.651,1.418
brown__028_brown,1326,47.9,23,23,46,158.8,154.6,1.498,1.363
box__078_box,1006,36.4,20,20,40,147.7,133.1,1.272,1.143
roll__038_roll,688,25.1,21,19,40,146.4,138.2,2.478,2.408
cylinder__005_cylinder,592,21.8,19,17,36,151.5,144.0,2.593,2.35
purse__018_purse,813,30.4,17,16,33,152.3,156.4,1.683,1.575
bag__033_bag,641,23.7,17,15,32,163.8,157.1,1.322,1.407
bag__068_bag,738,26.4,14,14,28,145.7,148.6,2.217,1.97
cylinder__034_cylinder,523,18.8,14,14,28,162.9,152.5,1.839,2.067
purse__053_purse,739,26.9,10,14,24,166.3,171.9,0.879,1.05
roll__080_roll,497,18.2,11,13,24,152.2,142.8,1.948,1.952
purse__074_purse,635,22.7,14,9,23,125.3,105.3,1.408,1.122
brown__058_brown,568,20.9,11,11,22,137.1,127.4,1.392,1.257
purse__025_purse,852,31.1,11,11,22,158.9,162.0,1.478,1.432
bag__054_bag,444,16.3,11,10,21,140.3,131.8,1.569,1.682
purse__032_purse,617,22.9,15,6,21,135.1,130.1,1.276,1.08
box__015_box,591,22.0,7,13,20,162.7,160.0,1.298,1.343
brown__042_brown,494,17.9,12,8,20,134.6,119.9,1.413,1.138
brown__065_brown,516,18.9,11,9,20,133.6,122.0,1.507,1.302
purse__095_purse,392,15.1,11,9,20,158.1,157.4,2.274,2.036
brown__016_brown,470,17.9,9,10,19,150.9,159.4,1.384,1.488
cylinder__083_cylinder,358,13.1,9,8,17,133.3,111.8,2.96,2.103
roll__052_roll,471,16.9,9,8,17,129.0,108.7,1.422,1.338
bag__026_bag,519,18.9,9,7,16,125.8,118.8,1.44,1.287
bag__040_bag,421,15.2,10,6,16,162.5,145.7,1.291,1.121
brown__100_brown,568,20.8,8,8,16,147.8,135.8,1.164,1.022
