episode_id,object_type,classification,manual_success,num_actions,duration_s,sl_major_rev,ef_major_rev,total_major_rev,sl_range,ef_range,sl_rev_per_s,ef_rev_per_s,max_rev_per_s,sl_mean_v,ef_mean_v
brown__072_brown,brown,oscillation,False,866,31.4,30,30,60,166.5,163.2,0.955,0.955,0.955,2.385,2.133
cylinder__005_cylinder,cylinder,oscillation,False,592,21.8,19,17,36,151.5,144.0,0.872,0.78,0.872,2.593,2.35
roll__038_roll,roll,oscillation,False,688,25.1,21,19,40,146.4,138.2,0.837,0.757,0.837,2.478,2.408
purse__067_purse,purse,oscillation,False,1340,48.5,40,36,76,162.9,159.2,0.825,0.742,0.825,2.363,2.093
bag__075_bag,bag,oscillation,False,1150,41.6,33,27,60,121.8,106.1,0.793,0.649,0.793,1.666,1.3
cylinder__034_cylinder,cylinder,oscillation,False,523,18.8,14,14,28,162.9,152.5,0.745,0.745,0.745,1.839,2.067
purse__095_purse,purse,oscillation,False,392,15.1,11,9,20,158.1,157.4,0.728,0.596,0.728,2.274,2.036
bag__033_bag,bag,oscillation,False,641,23.7,17,15,32,163.8,157.1,0.717,0.633,0.717,1.322,1.407
roll__080_roll,roll,oscillation,False,497,18.2,11,13,24,152.2,142.8,0.604,0.714,0.714,1.948,1.952
cylinder__083_cylinder,cylinder,oscillation,False,358,13.1,9,8,17,133.3,111.8,0.687,0.611,0.687,2.96,2.103
bag__054_bag,bag,oscillation,False,444,16.3,11,10,21,140.3,131.8,0.675,0.613,0.675,1.569,1.682
brown__042_brown,brown,oscillation,True,494,17.9,12,8,20,134.6,119.9,0.67,0.447,0.67,1.413,1.138
bag__040_bag,bag,oscillation,False,421,15.2,10,6,16,162.5,145.7,0.658,0.395,0.658,1.291,1.121
purse__032_purse,purse,oscillation,True,617,22.9,15,6,21,135.1,130.1,0.655,0.262,0.655,1.276,1.08
brown__030_brown,brown,oscillation,False,1326,49.1,32,32,64,155.2,152.6,0.652,0.652,0.652,1.547,1.567
purse__074_purse,purse,oscillation,True,635,22.7,14,9,23,125.3,105.3,0.617,0.396,0.617,1.408,1.122
box__015_box,box,oscillation,True,591,22.0,7,13,20,162.7,160.0,0.318,0.591,0.591,1.298,1.343
brown__065_brown,brown,oscillation,True,516,18.9,11,9,20,133.6,122.0,0.582,0.476,0.582,1.507,1.302
purse__039_purse,purse,oscillation,False,1319,48.2,25,28,53,144.9,141.0,0.519,0.581,0.581,1.651,1.418
roll__010_roll,roll,oscillation,True,419,15.9,9,6,15,132.7,129.1,0.566,0.377,0.566,1.266,1.117
purse__018_purse,purse,oscillation,True,813,30.4,17,16,33,152.3,156.4,0.559,0.526,0.559,1.683,1.575
brown__016_brown,brown,oscillation,True,470,17.9,9,10,19,150.9,159.4,0.503,0.559,0.559,1.384,1.488
cylinder__013_cylinder,cylinder,oscillation,True,440,16.2,9,3,12,131.5,116.3,0.556,0.185,0.556,1.369,1.189
roll__017_roll,roll,oscillation,True,298,10.8,6,6,12,155.0,153.7,0.556,0.556,0.556,1.498,1.947
box__078_box,box,oscillation,True,1006,36.4,20,20,40,147.7,133.1,0.549,0.549,0.549,1.272,1.143
roll__052_roll,roll,oscillation,True,471,16.9,9,8,17,129.0,108.7,0.533,0.473,0.533,1.422,1.338
bag__068_bag,bag,oscillation,True,738,26.4,14,14,28,145.7,148.6,0.53,0.53,0.53,2.217,1.97
brown__058_brown,brown,oscillation,True,568,20.9,11,11,22,137.1,127.4,0.526,0.526,0.526,1.392,1.257
purse__053_purse,purse,oscillation,False,739,26.9,10,14,24,166.3,171.9,0.372,0.52,0.52,0.879,1.05
purse__011_purse,purse,oscillation,True,421,15.4,8,5,13,136.1,116.9,0.519,0.325,0.519,1.391,1.136
box__000_box,box,oscillation,True,433,15.5,8,3,11,130.8,129.9,0.516,0.194,0.516,1.249,1.167
brown__086_brown,brown,normal,True,451,16.1,8,5,13,129.2,124.8,0.497,0.311,0.497,1.182,1.067
brown__028_brown,brown,normal,True,1326,47.9,23,23,46,158.8,154.6,0.48,0.48,0.48,1.498,1.363
bag__026_bag,bag,normal,False,519,18.9,9,7,16,125.8,118.8,0.476,0.37,0.476,1.44,1.287
bag__012_bag,bag,normal,True,468,16.9,8,6,14,124.0,108.6,0.473,0.355,0.473,1.353,1.15
bag__047_bag,bag,normal,True,408,14.9,7,3,10,117.6,95.6,0.47,0.201,0.47,1.346,0.995
cylinder__020_cylinder,cylinder,normal,True,530,19.1,8,8,16,146.8,144.0,0.419,0.419,0.419,1.246,1.355
bag__061_bag,bag,normal,False,520,19.1,8,6,14,141.8,143.1,0.419,0.314,0.419,1.214,1.16
roll__045_roll,roll,normal,True,568,21.9,9,4,13,120.0,119.1,0.411,0.183,0.411,1.105,0.969
purse__088_purse,purse,normal,True,494,18.1,7,7,14,129.7,115.8,0.387,0.387,0.387,1.188,1.04
brown__100_brown,brown,normal,True,568,20.8,8,8,16,147.8,135.8,0.385,0.385,0.385,1.164,1.022
roll__024_roll,roll,normal,True,444,16.0,4,6,10,128.8,119.4,0.25,0.375,0.375,1.095,1.153
brown__006_brown,brown,normal,True,421,16.2,6,6,12,127.2,119.2,0.37,0.37,0.37,1.373,1.245
bag__082_bag,bag,normal,True,597,22.0,8,3,11,149.4,145.6,0.364,0.136,0.364,1.085,0.988
cylinder__062_cylinder,cylinder,normal,True,617,22.4,8,8,16,136.7,129.8,0.357,0.357,0.357,1.071,1.043
roll__031_roll,roll,normal,True,469,16.9,6,4,10,138.4,137.8,0.355,0.237,0.355,1.058,1.019
purse__025_purse,purse,normal,True,852,31.1,11,11,22,158.9,162.0,0.354,0.354,0.354,1.478,1.432
purse__102_purse,purse,normal,True,616,22.7,8,8,16,145.5,132.3,0.352,0.352,0.352,1.143,1.064
box__036_box,box,normal,True,546,19.9,7,5,12,146.9,131.8,0.352,0.251,0.352,1.049,0.969
brown__014_brown,brown,normal,True,464,17.4,6,6,12,131.4,137.4,0.345,0.345,0.345,1.317,1.156
brown__070_brown,brown,normal,True,493,17.4,6,6,12,122.3,121.5,0.345,0.345,0.345,1.144,1.099
